2ID	IID	sex
61052	61052	1
61053	61053	2
61054	61054	2
61055	61055	1
61056	61056	1
61057	61057	1
61058	61058	1
61059	61059	2
61060	61060	2
61061	61061	1
61062	61062	1
61063	61063	1
61064	61064	2
61065	61065	1
61066	61066	1
61067	61067	2
61068	61068	2
61069	61069	1
61070	61070	1
61071	61071	1
61072	61072	2
61073	61073	1
61074	61074	2
61075	61075	2
61076	61076	2
61077	61077	2
61078	61078	2
61079	61079	2
61080	61080	1
61081	61081	2
61082	61082	1
61083	61083	1
61084	61084	2
61085	61085	1
61086	61086	1
61087	61087	2
61088	61088	2
61089	61089	1
61090	61090	2
61091	61091	2
61092	61092	1
61093	61093	2
61094	61094	2
61095	61095	2
61096	61096	2
61097	61097	1
61098	61098	1
61099	61099	1
61100	61100	1
61101	61101	2
61102	61102	1
61103	61103	2
61104	61104	1
61105	61105	2
61106	61106	2
61107	61107	1
61108	61108	2
61109	61109	1
61110	61110	1
61111	61111	1
61112	61112	1
61113	61113	2
61114	61114	2
61115	61115	1
61116	61116	2
61117	61117	1
61118	61118	2
61119	61119	0
61120	61120	1
61121	61121	1
61122	61122	2
61123	61123	2
61124	61124	2
61125	61125	1
61126	61126	0
61127	61127	1
61128	61128	1
61129	61129	1
61130	61130	2
61131	61131	1
61132	61132	2
61133	61133	1
61134	61134	1
61135	61135	2
61136	61136	2
61137	61137	1
61138	61138	2
61139	61139	2
61140	61140	1
61141	61141	1
61142	61142	1
61143	61143	2
61144	61144	1
61145	61145	1
61146	61146	2
61147	61147	2
61148	61148	2
61149	61149	1
61150	61150	2
61151	61151	1
61152	61152	1
61153	61153	1
61154	61154	2
61155	61155	1
61156	61156	2
61157	61157	2
61158	61158	1
61159	61159	1
61160	61160	2
61161	61161	1
61162	61162	2
61163	61163	1
61164	61164	1
61165	61165	2
61166	61166	2
61167	61167	2
61168	61168	1
61169	61169	2
61170	61170	1
61171	61171	1
61172	61172	1
61173	61173	2
61174	61174	2
61175	61175	1
61176	61176	2
61177	61177	2
61178	61178	2
61179	61179	2
61180	61180	2
61181	61181	1
61182	61182	1
61183	61183	1
61184	61184	2
61185	61185	0
61186	61186	1
61187	61187	1
61188	61188	2
61189	61189	1
61190	61190	1
61191	61191	1
61192	61192	2
61193	61193	1
61194	61194	1
61195	61195	2
61196	61196	1
61197	61197	2
61198	61198	2
61199	61199	1
61200	61200	1
61201	61201	1
61202	61202	2
61203	61203	1
61204	61204	1
61205	61205	1
61206	61206	2
61207	61207	2
61208	61208	1
61209	61209	2
61210	61210	1
61211	61211	1
61212	61212	2
61213	61213	2
